Museum,Year,Income,IncomeType
National Gallery,2015/16,2557000,Trading
National Museums Liverpool,2015/16,1674879,Trading
National Portrait Gallery,2015/16,1226000,Trading
Natural History Museum,2015/16,11610000,Trading
Royal Armouries,2015/16,434577,Trading
Royal Museums Greenwich,2015/16,927660,Trading
Science Museum Group,2015/16,2726000,Trading
Sir John Soane's Museum,2015/16,237826,Trading
Tate Gallery Group,2015/16,660226,Trading
Tyne and Wear Museums,2015/16,,Trading
Victoria and Albert Museum,2015/16,8045000,Trading
Wallace Collection,2015/16,553010,Trading
Total,2015/16,52424000,Trading
British Museum,2016/17,14800000,Trading
Museum of the Home,2016/17,35848,Trading
Horniman Museum,2016/17,234000,Trading
Imperial War Museums,2016/17,3717000,Trading
Museum of Science and Industry in Manchester,2016/17,,Trading
National Gallery,2016/17,2872000,Trading
National Museums Liverpool,2016/17,670934,Trading
National Portrait Gallery,2016/17,1061000,Trading
Natural History Museum,2016/17,10860000,Trading
Royal Armouries,2016/17,10954,Trading
Royal Museums Greenwich,2016/17,876000,Trading
Science Museum Group,2016/17,2858000,Trading
Sir John Soane's Museum,2016/17,272485,Trading
Tate Gallery Group,2016/17,2262031,Trading
Tyne and Wear Museums,2016/17,,Trading
Victoria and Albert Museum,2016/17,5269000,Trading
Wallace Collection,2016/17,525000,Trading
Total,2016/17,46324000,Trading
British Museum,2017/18,7800000,Trading
Museum of the Home,2017/18,23657,Trading
Horniman Museum,2017/18,253000,Trading
Imperial War Museums,2017/18,4252000,Trading
Museum of Science and Industry in Manchester,2017/18,,Trading
National Gallery,2017/18,3500000,Trading
National Museums Liverpool,2017/18,2458800,Trading
National Portrait Gallery,2017/18,764000,Trading
Natural History Museum,2017/18,11610000,Trading
Royal Armouries,2017/18,36650,Trading
Royal Museums Greenwich,2017/18,1538257,Trading
Science Museum Group,2017/18,3051000,Trading
Sir John Soane's Museum,2017/18,183224,Trading
Tate Gallery Group,2017/18,5403000,Trading
Tyne and Wear Museums,2017/18,,Trading
Victoria and Albert Museum,2017/18,8077000,Trading
Wallace Collection,2017/18,521000,Trading
Total,2017/18,49472000,Trading
British Museum,2018/19,7600000,Trading
Museum of the Home,2018/19,,Trading
Horniman Museum,2018/19,278000,Trading
Imperial War Museums,2018/19,4986000,Trading
Museum of Science and Industry in Manchester,2018/19,,Trading
