Museum,Year,VisitorCount,VisitorType
Total,2008/09,8426000,Under 16
British Museum,2009/10,831192,Under 16
Museum of the Home,2009/10,20872,Under 16
Horniman Museum,2009/10,323949,Under 16
Imperial War Museums,2009/10,599713,Under 16
Museum of Science and Industry in Manchester,2009/10,228131,Under 16
National Gallery,2009/10,422600,Under 16
National Museums Liverpool,2009/10,437779,Under 16
National Portrait Gallery,2009/10,156700,Under 16
Natural History Museum,2009/10,1164390,Under 16
Royal Armouries,2009/10,156177,Under 16
Royal Museums Greenwich,2009/10,44426102,Under 16
Science Museum Group,2009/10,1424463,Under 16
Sir John Soane's Museum,2009/10,2061,Under 16
Tate Gallery Group,2009/10,1048000,Under 16
Tyne and Wear Museums,2009/10,921309205258119,Under 16
Victoria and Albert Museum,2009/10,402000,Under 16
Wallace Collection,2009/10,28530,Under 16
Total,2009/10,8612000,Under 16
British Museum,2010/11,850650,Under 16
Museum of the Home,2010/11,22493,Under 16
Horniman Museum,2010/11,280883,Under 16
Imperial War Museums,2010/11,455876,Under 16
Museum of Science and Industry in Manchester,2010/11,254933,Under 16
National Gallery,2010/11,254246,Under 16
National Museums Liverpool,2010/11,500839,Under 16
National Portrait Gallery,2010/11,117600,Under 16
Natural History Museum,2010/11,1168590,Under 16
Royal Armouries,2010/11,136628,Under 16
Royal Museums Greenwich,2010/11,460806,Under 16
Science Museum Group,2010/11,1433432,Under 16
Sir John Soane's Museum,2010/11,3735,Under 16
Tate Gallery Group,2010/11,1083000,Under 16
Tyne and Wear Museums,2010/11,85861276935,Under 16
Victoria and Albert Museum,2010/11,378200,Under 16
Wallace Collection,2010/11,26547,Under 16
Total,2010/11,8287000,Under 16
British Museum,2011/12,765017,Under 16
Museum of the Home,2011/12,21192,Under 16
Horniman Museum,2011/12,232593,Under 16
Imperial War Museums,2011/12,428612,Under 16
Museum of Science and Industry in Manchester,2011/12,,Under 16
National Gallery,2011/12,355945,Under 16
National Museums Liverpool,2011/12,636999,Under 16
National Portrait Gallery,2011/12,133900,Under 16
Natural History Museum,2011/12,1243434,Under 16
Royal Armouries,2011/12,544184,Under 16
Royal Museums Greenwich,2011/12,450899,Under 16
Science Museum Group,2011/12,1843269,Under 16
Sir John Soane's Museum,2011/12,3848,Under 16
Tate Gallery Group,2011/12,1033000,Under 16
Tyne and Wear Museums,2011/12,1046038,Under 16
Victoria and Albert Museum,2011/12,440100,Under 16
