Museum Name,Month,2004/2005,2005/2006,2006/2007,2007/2008,2008/2009,2009/2010,2010/2011,2011/2012,2012/2013,2013/2014,2014/2015,2015/2016,2016/2017,2017/2018,2018/2019
Royal Armouries Total,August,52780,54835,45458,67222,58177,50172,47421,223278,171785,221711,288522,217026,211005,226328,236561
Royal Armouries Total,September,32841,31412,27698,35762,36021,38008,28556,172158,182056,187577,154891,187050,175433,184954,197594
Royal Armouries Total,October,31230,32731,28977,27448,25342,20269,29662,144483,150228,151232,163498,132241,165269,162219,178625
Royal Armouries Total,November,16687,15878,14624,17522,33845,29323,18225,102191,118057,116355,155654,127697,104995,116912,141275
Royal Armouries Total,December,17915,13498,13196,8937,11656,13226,14168,117643,105709,110582,84431,108056,128878,126286,138333
Royal Armouries Total,January,15835,12872,12415,14872,17614,12789,15270,86000,85014,84721,97268,100868,91763,100556,0
Royal Armouries Total,February,29947,29310,26622,24390,30253,29918,27946,114547,117752,111109,117266,107470,127520,134196,0
Royal Armouries Total,March,40040,17747,19226,32634,24512,25278,21120,159614,173507,172213,171173,188791,142893,175219,0
Sir John Soane'S Museum,April,0,0,0,0,8316,9379,10654,8611,8535,10644,10015,8181,11839,10787,12762
Sir John Soane'S Museum,May,0,0,0,0,8351,8957,8966,8247,8189,11436,10822,10980,9871,11000,11211
Sir John Soane'S Museum,June,0,0,0,0,6665,8247,8070,9533,7815,9489,9535,8835,9858,9872,9697
Sir John Soane'S Museum,July,0,0,0,0,9085,10008,10084,10031,8032,10466,10697,11375,10409,10751,9496
Sir John Soane'S Museum,August,0,0,0,0,9297,9949,10707,10215,8759,11917,11670,11154,9772,11377,13047
Sir John Soane'S Museum,September,0,0,0,0,7504,8282,8602,8744,8461,9447,9273,9895,9456,11509,11433
Sir John Soane'S Museum,October,0,0,0,0,9264,10194,10414,9344,10577,10668,11218,11896,11249,11421,11586
Sir John Soane'S Museum,November,0,0,0,0,7368,7651,8501,8895,9568,9697,9023,9056,9972,10989,11272
Sir John Soane'S Museum,December,0,0,0,0,5420,6412,6368,8109,7141,7067,6560,8436,10389,9951,9860
Sir John Soane'S Museum,January,0,0,0,0,7843,7841,7423,7946,9167,9571,9446,9074,7349,8541,0
Sir John Soane'S Museum,February,0,0,0,0,8388,9262,9862,8919,9469,8734,9430,9793,9928,11148,0
Sir John Soane'S Museum,March,0,0,0,0,8944,11316,10455,9309,10437,10169,9781,10686,11412,13354,0
Tate Total,April,460099,608435,591088,684842,586966,591720,590649,628313,783263,670969,659476,589142,441342,1022007,808511
Tate Total,May,451568,541077,521653,557464,611173,579244,658090,578026,626807,658903,759264,658801,437003,861520,677232
Tate Total,June,548208,517768,523585,576471,646381,534948,581744,593472,631525,529973,666136,546754,734041,520915,624723
Tate Total,July,668281,534737,663637,674884,716663,662678,750621,744364,745827,685250,798793,697374,964422,648432,702768
Tate Total,August,726580,529949,743149,740130,851192,703650,807915,728906,791576,703516,910501,686972,874005,656281,833752
Tate Total,September,470629,519443,620196,532849,587983,535868,545806,528737,693613,562672,643881,517453,688246,566338,653891
Tate Total,October,562560,685109,872815,780283,773758,737993,846751,670343,743558,622083,711937,586127,855808,693841,690718
Tate Total,November,466993,536323,682876,686494,602004,560943,601325,499533,548996,515852,589981,477321,588643,588329,577770
Tate Total,December,389141,450180,603918,558155,481314,482955,431238,472866,469546,444548,529813,459248,583918,560740,534490
Tate Total,January,380623,491014,538958,572863,510712,537888,508582,458280,462217,498601,551337,501954,583695,614346,0
