accessionNumber,accessionYear,systemNumber,objectType,_primaryTitle,_primaryPlace,_primaryMaker__name,_primaryMaker__association,_primaryDate,_primaryImageId,_sampleMaterial,_sampleTechnique,_sampleStyle,_currentLocation__displayName,_objectContentWarning,_imageContentWarning
A.289-1910,1910.0,O106673,Medal,"Castel Sant'Angelo, Rome",Rome,Unknown,,ca. 1493,,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.496-1910,1910.0,O106635,Plaquette,The Triumph of Poverty,Netherlands,Unknown,,1550-1600,2006BB2698,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.434-1910,1910.0,O106626,Plaquette,The Fall of Phaeton,Italy,Moderno,artist,late 15th century to early 16th century,2006BB2701,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.422-1910,1910.0,O106623,Plaquette,Apollo and Marsyas,Padua,Ulocrino,artist,1475-1500,2018KV7914,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.419-1910,1910.0,O106622,Plaquette,A Bacchanal of Children,Padua,Riccio,artist,ca. 1500,2006BB2691,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
107-1867,1867.0,O106380,Medal,Allegory of Vanitas,Germany,"Rosenbaum, Lorenz",maker,1535-1540,2006AE9864,lead,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
7152-1860,1860.0,O102967,Medallion,Prudence,Nuremberg,"Flötner, Peter",medallist,1540-1546,2006BB2700,bronze,relief,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
1260-1856,1856.0,O102772,Medal,"St Paul's Cathedral, London",England,"Gaab, George Daniel",medallist,ca. 1723,2006AF0037,bronze,casting,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
310-1880,1880.0,O111648,Medal,"Frederick, Prince of Wales",London,"Dassier, Jacques-Antoine",medallist,ca. 1750,2006AE9944,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.46-1965,1965.0,O111647,Medal,Pope Clement XI,Rome,"Hamerani, Hermenegildo",medallist,ca. 1703,,Silver,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
170-1867,1867.0,O94083,Medal,"Wilhelm V, Duke of Bavaria, and his wife Renée",Germany,"Gerhard, Hubert",artist,1585,2006AF4780,brass,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
5779-1859,1859.0,O93954,Medal,Henri IV and Marie de Médicis,Paris,"Dupré, Guillaume",medallist,1605,2006AE4898,bronze,casting,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.32-1978,1978.0,O89888,Plaquette,"Duval Janvier, Medallists",Paris,"Charpentier, Alexandre-Louis-Marie",artist,1902,2006AE9179,bronze,casting,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.8-1978,1978.0,O89878,Plaquette,Girl with Doves,Paris,"Renard, Marcel Claude",medallist,1931,2006AF0029,Bronze,,Art Deco,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.9:1-2003,2003.0,O89261,Medal,50th anniversary of the Discovery of DNA,London,"Musson, Peter Brian",maker,2002,2006AF0038,silver,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
840-1900,1900.0,O89751,Plaquette,Mother nursing her baby,Paris,"Charpentier, Alexandre-Louis-Marie",maker,1899,2011EW4814,Bronze,,Art Nouveau,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.27-1954,1954.0,O349853,Plaquette,Charity,Germany,"Flötner, Peter",made,1540-1546,,lead,cast,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
4287-1857,1857.0,O94290,Medal,The Adoration of the Magi,Germany,"Reinhart, Hans (the Elder)",maker,1538,2006AF5949,silver,gilding,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
258-1867,1867.0,O88292,Panel,The Ascension,Cologne,Unknown,,ca. 1150-1160,2009CA5621,ivory,carving,Romanesque,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
374-1890,1890.0,O71888,Statuette,St Christopher,Limburg (Netherlands),Master of Elsloo,maker,ca. 1520,2006AL5790,oak,carving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
214-1865,1865.0,O87519,Pastoral staff head,Virgin and Child and Crucifixion,Paris,Unknown,,ca. 1330-1340,2013GB2248,ivory,carved,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
6979-1860,1860.0,O102990,Plaquette,Entombment,Padua,"Briosco, Andrea Il Riccio",sculptor,after 1516,2022NF1320,bronze,low relief,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
854(IS),,O64554,Figure,Shiva and Parvati with Ganesha,Bangladesh,Unknown,,9th century,2006AT9938,copper alloy,,Pala,"South Asian Sculpture, Room 47b",False,False
930(IS),,O25156,Figure,Santinatha,Rajasthan,Unknown,,1168,2024NY1139,bronze,casting,Cahamana,"South Asian Sculpture, Room 47b",False,False
A.2-1958,1958.0,O73080,Statuette,St John Nepomuk,Mainz (Rheinland-Pfalz),"Hencke, Peter",maker,ca. 1745-75,2011FB4107,ivory,,,"Europe 1600-1815, Room 3",False,False
71-1889,1889.0,O75695,Figure of Lu Dongbin,Lu Dongbin,China,Unknown,,1550-1640,2006AH0928,bronze,cast,Ming,"China, Room 44",False,False
M.25-1973,1973.0,O143012,Necklace,,London,"Hawksley, Anthony",designed,1968,2007BR2406,silver,gilding,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
REPRO.A.1916-605,1916.0,O129800,Head,Head of a man,Salisbury cathedral,Unknown,,ca. 1260 - ca. 1280,2010EA3110,Plaster,casting,gothic,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
REPRO.A.1916-567,1916.0,O129740,Head,Head of a man,Salisbury cathedral,Unknown,,ca. 1260 - ca. 1280,2010EA2153,Plaster,casting,Gothic,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
A.5-1953,1953.0,O77804,Statuette,St George and the Dragon,London,"Fanelli, Francesco",sculptor,1632-1639,2006AM5729,bronze,,,"British Galleries, Room 56, The Djanogly Gallery",False,False
IS.36-1988,1988.0,O25030,Figure,Visnu,Nepal,,,800-1000,2006AU8854,stone,carving,Late  Licchavi period,"The Himalayas and South-East Asia, Room 47a",False,False
REPRO.A.1916-596,1916.0,O129791,Head,Head of a young man,Salisbury Cathedral,Unknown,,ca. 1260 - ca. 1280,2010EA2656,Plaster,casting,Gothic,"Medieval & Renaissance, Room 64b, The Simon Sainsbury Gallery",False,False
A.35-1936,1936.0,O108801,Architecture captial,,France,Unknown,,ca. 1100-1125,2006AY6125,limestone,carving,Romanesque,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
"A.10:1, 2-2011",2011.0,O1241433,Relief,Caesar Invading Britain,Rome,John Deare,sculptor,1796,2022ND6878,Marble,Carved,,"Sculpture, Room 22, The Dorothy and Michael Hintze Galleries",False,False
CIRC.13-1962,1962.0,O152662,Brooch,Sun,England,"Armitage, Kenneth",designer,1961,2006BH1453,silver,casting,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
CIRC.15-1962,1962.0,O148272,Brooch,,London,"Meadows, Bernard",designer,1961-1962,2006AX6056,silver,,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
330-1879,1879.0,O93156,Relief,Pilate washing his hands and Christ led from judgement,Florence,Giambologna,maker,ca. 1579-1580,2009CD1580,wax,,,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
W.14 to :2-1971,1971.0,O10466,Console table,Chiswick table,London,"Kent, William",designer,1727 - 1732,2006AV6403,pine,carving,Palladian,"British Galleries, Room 54",False,False
A.2-1982,1982.0,O94070,Tympanum,The Larnaca Tympanum,Larnaca,Unknown,,ca. 1210 - ca. 1230,2009CB7273,,,,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
M.183-1976,1976.0,O143717,Object,,Germany,"Lorenzen, Jens Rudiger",designed,1975,2006BJ3635,silver,,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
CIRC.136-1959,1959.0,O73733,Brooch,,Denmark,"Koppel, Henning",jeweller,ca. 1950,2006AN7413,Silver,,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
A.97-1930,1930.0,O89061,Statuette,Adam,Austria,Master of the Furies,maker,ca. 1610,2006AE9409,ivory,carving,,"Europe 1600-1815, Room 6, The Lisa and Bernard Selz Gallery",False,False
A.4-1949,1949.0,O94211,Bust,Unknown man,France,"Merard, Pierre",sculptor,06/1786,2014GX6884,,,,"Europe 1600-1815, Room 4",False,False
A.98-1911,1911.0,O96291,Statue,Virgin and Child,Ile-de-France,Unknown,,ca. 1340-1350,2009CR7701,limestone,gilding,,"Medieval & Renaissance, Room 9, The Dorothy and Michael Hintze Gallery",False,False
329-1879,1879.0,O93147,Relief,Christ rejected by the Jews (Ecce Homo),Florence,Giambologna,maker,ca. 1579 - ca. 1580,2009CD1579,Wax,,,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
A.29-1982,1982.0,O90420,Bust,Cardinal Giovanni de' Medici,Florence,"de' Benintendi, Antonio",workshop of,ca. 1512,2006AT3296,terracotta,painted,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
REPRO.1899-57,1899.0,O41562,Bust,Piero di Cosimo de'Medici,Florence,"da Fiesole, Mino",sculptor,1453,2007BM5950,plaster,casting,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
C.393-1920,1920.0,O150943,Figure,Neptune,Fulham,John Dwight's Fulham Pottery,maker,ca. 1674-1675,2008BR9650,,,,"Ceramics, Room 143, The Timothy Sainsbury Gallery",False,False
269A-1886,1886.0,O17760,Column,,Calabria,Unknown,,1225-1250,2016JL5754,,,,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
IS.108-2001,2001.0,O63825,Figure,Seated Buddha,Gandhara,Unknown,,3rd century-4th century,2009CB5752,schist,carving,Kushan,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
IS.39-1951,1951.0,O479768,Plaque,,Pakistan,Unknown,,ca. 1st century BC - 3rd century AD,2010EA5531,terracotta,,Hellenistic period,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
4-1884,1884.0,O77616,Medallion,,Etruria,Josiah Wedgwood and Sons,maker,1772-1780,2006AH9322,,,,"British Galleries, Room 118; The Wolfson Gallery",False,False
111-1899,1899.0,O119989,Drawer front,,France,Unknown,,1600-50,2006AC9670,walnut,carved,,"Furniture, Room 133, The Dr Susan Weber Gallery",False,False
4529-1858,1858.0,O70874,Tankard,Tankard with Silenus and bacchic revels,Augsburg,"Straus, Bernhard",maker,1651,2008BU5940,ivory,carving,,"Europe 1600-1815, Room 6, The Lisa and Bernard Selz Gallery",False,False
838-1895,1895.0,O368959,Pilaster,,France,Unknown,maker,1500-1550,2012FT8970,oak,carving,,"Furniture, Room 133, The Dr Susan Weber Gallery",False,False
95-1865,1865.0,O129893,Plaquette,Apollo and Marsyas,Padua,Ulocrino,maker,ca. 1500 - ca. 1525,2009BY8433,gilt bronze,cast,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
C.39-1987,1987.0,O19519,Form,,Great Britain,"Lowndes, Gillian",maker,1986,2006AN8134,stoneware,painting,Company,"Ceramics, Room 142, The Lydia and Manfred Gorvy Gallery",False,False
A.84-1927,1927.0,O96302,Relief,The Virgin and Child (Dudley Madonna),Florence,Desiderio da Settignano,,ca. 1450 - 1460,2022NC4907,marble,carving,,"Medieval & Renaissance, Room 64a, The Robert H. Smith Gallery",False,False
A.5-1950,1950.0,O77803,Medallion,"John Churchill, 1st Duke of Marlborough",London,"Le Marchand, David",maker,ca. 1700 - ca. 1710,2006AM9008,ivory,,,"British Galleries, Room 54",False,False
A.1-1942,1942.0,O75376,Bust,"Richard Temple, 1st Viscount Cobham",England,"Scheemakers, Peter",sculptor,ca. 1740,2006AL0959,marble,,,"British Galleries, Room 54",False,False
DYCE.10,,O132432,Oil painting,Esther's toilet in the harem of Ahasuerus,,"Wolfaerts, Artus",painter (artist),ca. 1620,2014HF7079,oil paint,oil painting,Flemish School,"Europe 1600-1815, Room 6, The Lisa and Bernard Selz Gallery",False,False
239-1881,1881.0,O8859,Portrait bust,Charles II,Genoa,"Pelle, Honoré",sculptor,1684,2006AM8204,marble,carving,Baroque,"British Galleries, Room 56, The Djanogly Gallery",False,False
629-1865,1865.0,O73340,Salt cellar,,Italy,Unknown,,ca. 1560,2006AE9318,gilt bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
6028-1852,1852.0,O111522,Medal,Council Medal for the Great Exhibition of 1851,London,"Wyon, William",designer,1851,2006AE9221,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.101-1927,1927.0,O107358,Knife handle,,England,Unknown,,10th century to 11th century,2006AD3413,bone,carving,Anglo-Saxon,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.36-1923,1923.0,O88811,Panel,Christ in Glory,Rhine,Unknown,,10th century,2009CA7175,ivory,,Carolingian,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.9&:2-1950,1950.0,O89923,Two handled bowl,Labours of the Months,Kaliningrad,Unknown,,ca. 1650,2006AF5088,amber,gilded,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.63-1953,1953.0,O111217,Group,The Mountain of Hell,Padua,"Zoppo, Agostino",maker,1550-1560,2006AE9423,Bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.13-1940,1940.0,O313372,Model,A Man carrying a sack of grain,France,"Puget, Pierre",sculptor,mid 17th century,2017JU2002,terracotta,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
271-1864,1864.0,O111870,Plaquette,Abundance,Florence,Unknown,,1450-1500,2006AE9862,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.34-1975,1975.0,O111843,Relief,Bours Drives Treslong and Merville out of the Citadel of Antwerp,Antwerp,"Jonghelinck, Jacques",maker,ca. 1578-80,2006AE6703,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.21-1980,1980.0,O111643,Medal,James I,London,Unknown,,1603-1625,2006AF0028,silver,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.153-1978,1978.0,O111646,Medal,Memorial Medal for Charles I,London,"Roettiers, Jan",medallist,ca. 1670,2006AE9903,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
"A.2:1, 2-2004",2004.0,O102163,Model,,London,"Bonnardel, Pierre-Antoine Hippolyte",maker,1851,2006BJ4914,plaster,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
7553-1861,1861.0,O103055,Cameo,"Alessandro de' Medici, Duke of Florence",Florence,"Polo, Domenico di",artist,1532-1547,2006AE9298,gold,gem-engraving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
1603-1855,1855.0,O69607,Cameo,Queen Elizabeth I,England,Unknown,maker,1575-1580,2020ML8169,sardonyx,gem-engraving,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
249-1867,1867.0,O106431,Panel,A Hawking Party,Paris,Unknown,,ca. 1340-1350,2012FP9750,ivory,carved,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
M.24-2024,2024.0,O1770631,Brooch,'The colors of London'–'Tube Map' ,United States,"Schick, Marjorie (Prof.)",designed and made by,1998,2024NX0744,papier-mâché,jewellery-making,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
C.145-1986,1986.0,O168736,Figure,,Sweden,"Liljefors, Anders B",modeller,ca. 1956,2009CA6194,stoneware,sand casting,,"Ceramics, Room 140, Factory Ceramics",False,False
A.4-1946,1946.0,O120402,Corbel,Corbel,England,Unknown,,ca. 1125-1150,2009CC6053,Sandstone,Carved,,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
1629&A-1882,1882.0,O110729,Figure of deer,,China,Unknown,maker,1760-1800,2010EJ2131,,,Qing,"China, Room 44",False,False
REPRO.1893-489,1893.0,O40728,Relief,Lamentation over the Dead Christ,Lombardy,"Mantegazza, Cristoforo",sculptor,second half of the 15th century,2007BM5929,plaster,casting,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
REPRO.1869-8,1869.0,O128345,Bust,Bust of a Woman,Ravello,Unknown,,ca. 1272,2011FC7121,plaster,casting,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
A.21-1948,1948.0,O16295,Relief,,Siena,"Pisano, Nicola",makers,ca. 1272,2006AY6122,,,,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
CIRC.624-1962,1962.0,O73778,Pendant,,London,"Frink, Elizabeth (Dame)",designer,1961,2006BG6705,Bronze,Casting,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
M.25-2024,2024.0,O1770632,Brooch,'The colors of London'–'Shopping Harrods',United States,"Schick, Marjorie (Prof.)",designed and made by,1998,2024NX0740,,,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
A.25-1953,1953.0,O311605,Statuette,Model of the Virgin Mary and Three Holy Women,Modena,"Begarelli, Antonio",sculptor,ca.1530,2006AM3649,terracotta,,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
7569-1861,1861.0,O127352,Tabernacle,,Lucca,"Civitali, Matteo",sculptor,ca. 1496,2006BB4246,marble,carving,Renaissance,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
C.1178-1917,1917.0,O136478,Figure,,China,Unknown,,600-700,2008BT2310,,,Tang,"Ceramics, Room 145",False,False
M.257:1-1977,1977.0,O152369,Ring,,London,"Morris, Roger",designed and made,1974,2006AC5787,gold,,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
M.33 to B-1982,1982.0,O118106,Ring,,London,"Manheim, Julia",designer and maker,1976,2006AT7556,silver,,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
21228,,O77353,Print,,London,"Servandoni, Giovanni Niccolo",designer,1749,2006AM3190,,engraving,,"British Galleries, Room 52, The George Levy Gallery",False,False
A.59-1953,1953.0,O40984,Overmantel frame,An Allegory of Charity,England,"Rysbrack, John Michael",designer,1759,2021MY2359,wood,,,"Sculpture, Room 23, The Dorothy and Michael Hintze Galleries",False,False
LOAN:GILBERT.173:1-2008,2008.0,O157732,Mosaic picture,,Rome,Unknown,,ca. 1800,2015HU6011,mosaic glass,micromosaic,,"Europe 1600-1815, Room 1",False,False
A.206-1946,1946.0,O66241,Statuette,Agitated Neptune,Paris,"Anguier, Michel",after,ca. 1670-90,2006AE9434,bronze,casting,,"Europe 1600-1815, Room 5, The Friends of the V&A Gallery",False,False
REPRO.1864-15,1864.0,O41550,Bust,Filippo di Matteo Stozzi,Florence,"da Maiano, Benedetto",sculptor,before 1491,2007BM5757,plaster,casting,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
4912-1858,1858.0,O17207,Statuette,Fortitude,Milan (province),Bambaia,sculptor,1517-1522,2009CT0435,marble,carving,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
A.12-1948,1948.0,O66333,Bust,"Self-portrait, Alessandro Vittoria",Venice,"Vittoria, Alessandro",workshop of,ca. 1600,2009CP5126,terracotta,,Renaissance,"Medieval & Renaissance, Room 62, The Foyle Foundation Gallery",False,False
IM.19-1912,1912.0,O49192,Statue,Standing Buddha,Burma,,,late 18th century - early 19th century,2006AA4660,teak,carving,Konbaung,"Buddhism, Room 47f, The Robert H. N. Ho Family Foundation Galleries of Buddhist Art",False,False
"M.108:1, 2-2007",2007.0,O153319,Earring,,USA,unknown,,ca. 1870,2007BP2911,gold,stone-cutting,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
71-1882,1882.0,O93182,Tomb stone,Tomb stone of Antonio and Caterina Maggi da Bassano,Padua,"Grandi, Vincenzo",maker,1520,2006BC6059,stone,,,"Medieval & Renaissance, Room 50a, The Paul and Jill Ruddock Gallery",False,False
REPRO.1889-106,1889.0,O40908,Tomb,Tomb of Ilaria del Carretto,Siena (town),"Quercia, Jacopo della",sculptor,1406-1407,2007BM5888,plaster,casting,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
242-1894,1894.0,O132257,Fountain part,Upper part of a fountain,Aquila,Unknown,,1450-1475,2009CT2922,Istrian stone,Carving,,"Medieval & Renaissance, Room 50a, The Paul and Jill Ruddock Gallery",False,False
CIRC.265-1959,1959.0,O168723,Vase,,Stockholm,"Stålhane, Carl-Harry",designer,1957,2009CA3410,stoneware,mottled,,"Ceramics, Room 140, Factory Ceramics",False,False
03642(IS),,O111523,Medal,Council Medal for the 1851 Exhibition,London,"Bonnardel, Pierre-Antoine Hippolyte",designers,1851,2006AE9240,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
630-1865,1865.0,O87562,Salt cellar,,Italy,Unknown,,1830-1850,2006AE9290,gilt bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
953-1904,1904.0,O176785,Plaquette,An Antique Sacrifice,Italy,"Belli, Valerio",artist,first half 16th century,2018KV7876,bronze,casting,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
275-1867,1867.0,O106455,Plaque,Two Scenes from the Story of David,Lower Rhine,Unknown,,ca. 1170-80,2009CA5423,ivory,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
194-1867,1867.0,O111862,Plaquette,Cupids Dancing,Germany,Unknown,,1500-1600,2006BB2692,lead,low relief,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.6-1992,1992.0,O111645,Medal," The Fall of the Titans (""Gigantomachia"")",London,"Bower, George",medallist,ca. 1660,2022NG8537,silver,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
IS.32-1951,1951.0,O479771,Head,,Pakistan,Unknown,,ca. 1st century BC - 3rd century AD,2010EA5650,terracotta,,Hellenistic period,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
7595-1861,1861.0,O39628,Model,The Descent from the Cross,Rome,"Sansovino, Jacopo",sculptor,ca. 1508,2006AP8568,wax,gilding,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
A.34-1936,1936.0,O108800,Architecture capital,Capital,France,Unknown,,ca. 1100-1125,2006AY6126,limestone,carving,Romanesque,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
A.10-1931,1931.0,O93731,Stone carving,The Easby Cross,England,Unknown,,ca. 800-820,2006AT3502,,,Anglo-Saxon,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
A.88-1930,1930.0,O96298,Fragment of a cross,The Easby Cross,England,Unknown,,ca. 800-820,2008BV1261,,,Anglo-Saxon,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
A.9-1931,1931.0,O96324,Fragment of a cross,The Easby Cross,England,Unknown,,ca. 800-820,2008BV1261,,,Anglo-Saxon,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
A.11-1931,1931.0,O93748,Fragment of a cross,The Easby Cross,England,Unknown,,ca. 800-820,2006AT3502,,,Anglo-Saxon,"Medieval & Renaissance, Room 8, The William and Eileen Ruddock Gallery",False,False
A.62-1926,1926.0,O66240,Bust,"Portrait of a man, perhaps William Hogarth",England,"Cheere, John",possibly,ca. 1750,2006AM0946,lead,,,"British Galleries, Room 52, The George Levy Gallery",False,False
C.77-1929,1929.0,O338631,Bottle,,Peru,Unknown,,ca. 400 - 700,2010DR2434,earthenware,moulded,Moche,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
548-1864,1864.0,O127353,Altar arch,Arch of an Altar,Italy,Guiliano da Sangallo,style of,ca. 1490 - ca. 1520,2009CT3012,marble,carving,,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
C.115 to D-1979,1979.0,O19136,Figure group,Monte Alban II,Stoke-on-Trent,"Barton, Glenys",maker,1977,2006AJ5187,Bone china,,,"Ceramics, Room 140, Factory Ceramics",False,False
REPRO.1863-15,1863.0,O127883,Statue,The Dying Slave,Florence,Michelangelo,sculptor,ca. 1513,2007BM5744,plaster,casting,,"Cast Courts, Room 46b, The Weston Cast Court ",False,False
FE.3-2000,2000.0,O46176,Figure,Sun God with two faces,China,"Liangkun, Xing",artist,1st January 1999,2009CR0612,glaze,glazed,,"Ceramics, Room 137, The Curtain Foundation Gallery",False,False
2166&A-1855,1855.0,O153928,Pastoral staff,Abbot's pastoral staff,Bavaria,Joseph Deutschmann,maker,ca. 1745 - ca. 1750,2011FC2807,ebony,carving,,"Europe 1600-1815, Room 3",False,False
A.53-1978,1978.0,O312606,Statue,A Warrior Saint,Antwerp,"Artus, Quellinus II",sculptor,ca. 1670 - ca. 1700,2023NN3474,marble,,,"Grand Entrance, Stair P",False,False
5464-1858,1858.0,O117276,Panel,,Cologne,Unknown,,ca. 1300-1325,2006BA0182,,,,"Sacred Silver & Stained Glass, Room 84",False,False
M.507-1956,1956.0,O91577,Plaque,,Germany,Unknown,,1700-1719,2006AL0276,,,,"Silver, Room 69",False,False
7720:1 to 4-1861,1861.0,O17758,Chapel,"Chancel chapel from Church of Santa Chiara, Florence",Florence,,,,2012FL4125,,,,"Medieval & Renaissance, Room 50b, The Paul and Jill Ruddock Gallery",False,False
"A.89:1 to 8, 10 to 15-1919",1919.0,O70204,Altarpiece,The Swansea Altarpiece,England,Unknown,,1460-1490,2006AM7601,,,Gothic,"British Galleries, Room 58b",False,False
M.37-1992,1992.0,O145407,Brooch,,Scotland,"Chang, Peter",designer and maker,1992,2006BH8188,acrylic,,,"Jewellery, Rooms 91, The William and Judith Bollinger Gallery",False,False
7949:1-1862,1862.0,O108808,Statue,The Virgin and Child,Normandy,Unknown,,ca. 1350-1370,2009CR1676,limestone,carving,,"Medieval & Renaissance, Room 9, The Dorothy and Michael Hintze Gallery",False,False
7629-1861,1861.0,O93255,Relief,Ascension with Christ giving the Keys to St Peter,Florence,Donatello,sculptor,ca. 1428-1430,2022NF4936,marble,carving,,"Medieval & Renaissance, Room 64a, The Robert H. Smith Gallery",False,False
"M.6:1, 2-2010",2010.0,O93802,Candlestick,,London,"Lamerie, Paul de",maker,1744-1745,2006AW3941,silver,casting,Rococo,"Silver, Room 68",False,False
8510-1863,1863.0,O349952,Bust,A young girl,France,"Saly, Jacques-François-Joseph",after,ca. 1770-90,2012FT5213,marble,carved,,"Europe 1600-1815, Room 4",False,False
A.1-2012,2012.0,O1243133,Medal,Midsummer Night's Dream,Bulgaria,"Nikolov, Bogomil",made,2006,2012FG3149,brass,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
A.20-1950,1950.0,O89219,Statuette,A Captive,France,Unknown,,1660-1700,2006AE9291,bronze,,,"Sculpture, Room 111, The Gilbert Bayes Gallery",False,False
"A.88:1, 2-1910",1910.0,O70285,Statuette,The Shouting Horseman,Padua,"Riccio, Andrea (Andrea Briosco)",sculptor,ca. 1510-1515,2008BU1474,Bronze,casting,,"Medieval & Renaissance, Room 64, The Wolfson Gallery",False,False
A.58-1953,1953.0,O40982,Relief,An Allegory of Charity,England,"Rysbrack, John Michael",sculptor,ca. 1746,2021MY2359,terracotta,,,"Sculpture, Room 23, The Dorothy and Michael Hintze Galleries",False,False
A.27-2005,2005.0,O127383,Relief,Mother and Child,London,"Tweed, John",sculptor,after 1894,2006AX9899,bronze,cast,,"Sculpture, Room 21, The Dorothy and Michael Hintze Galleries",False,False
