RecordID,Museum,AcqDate,ObjectType,ItemDate,ModernCountry,ItemMaterial,ItemTechnique,CorrectedStartDate,CorrectedEndDate,CorrectedMidpointDate
6607,VAM,2009,Face mask,1972,United Kingdom,gold,stone setting,1972.0,1972.0,1972.0
6622,VAM,2011,Brooch,ca. 1860,Italy,gold,casting,1860.0,1860.0,1860.0
6629,VAM,2008,Jar,3500 BC-2500 BC,,earthenware,hand-built,-3500.0,-2500.0,-3000.0
6630,VAM,2007,Pendant,1860-1880,,gold,,1860.0,1880.0,1870.0
6635,VAM,2022,Bust,2019,United Kingdom,Parian ware,,2019.0,2019.0,2019.0
6658,VAM,2007,Figure,early 20th century,India,wood,,1901.0,2000.0,1950.0
6713,VAM,2006,Necklace,ca. 1970,Switzerland,gold,,1970.0,1970.0,1970.0
6730,VAM,2006,Brooch-pendant,1969,United Kingdom,gold,stone setting,1969.0,1969.0,1969.0
6731,VAM,2006,Necklace,2005,Netherlands,paper,,2005.0,2005.0,2005.0
6732,VAM,2010,Architectural model,1980,United States,cardboard,,1980.0,1980.0,1980.0
6750,VAM,2010,Necklace,1998,Italy,,,1998.0,1998.0,1998.0
6752,VAM,2017, Hare and case,,Russia,smoky quartz,carving,,,
6755,VAM,2012,Print,1695-1698,Netherlands,,etching,1695.0,1698.0,1696.0
6756,VAM,2012,Print,1695-1698,Netherlands,,etching,1695.0,1698.0,1696.0
6757,VAM,2009,Mosaic,ca. 1865,United Kingdom,mosaic glass,mosaic,1865.0,1865.0,1865.0
6777,VAM,2017,Bust,,,,,,,
6813,VAM,2006,Medal,1995-1996,United Kingdom,bronze,casting,1995.0,1996.0,1996.0
6818,VAM,2010,Medal,2010,United Kingdom,bronze,cast,2010.0,2010.0,2010.0
6829,VAM,2023,Medal,1999,United Kingdom,silver,cast,1999.0,1999.0,1999.0
6830,VAM,2022,Medal,1995-1996,,bronze,cast,1995.0,1996.0,1996.0
6831,VAM,2016,Digital drawing ,2002,,,,2002.0,2002.0,2002.0
6860,VAM,2015,Edge of Chaos II,2015,Belgium,silver,oxidizing,2015.0,2015.0,2015.0
6864,VAM,2007,Model,1660-1680,Italy,Terracotta,,1660.0,1680.0,1670.0
6872,VAM,2007,Vessel,2005,Netherlands,glass,wheel engraved,2005.0,2005.0,2005.0
6882,VAM,2024,Earring,30/05/2024,United States,ceramic,setting,,,
6884,VAM,2013,Ring,1945-46,United States,silver,,1945.0,46.0,996.0
6889,VAM,2005,Waster,1650-1670,Netherlands,,,1650.0,1670.0,1660.0
6890,VAM,2024,Brooch,1998,United States,wood,,1998.0,1998.0,1998.0
6893,VAM,2012,Ring ,2011,United Kingdom,gold,,2011.0,2011.0,2011.0
6948,VAM,2008,Figurine,750-800,China,earthenware,painted,750.0,800.0,775.0
6969,VAM,2013,figure,c.1832,,bone china,slip cast,1832.0,1832.0,1832.0
6972,VAM,2006,Brooch,ca. 1970,,gold,,1970.0,1970.0,1970.0
6974,VAM,2016,Statuette,1928-1929,,,,1928.0,1929.0,1928.0
6976,VAM,2023,Figure,,,bronze,,,,
6978,VAM,2012,Bust,,,bronze,,,,
6982,VAM,2006,Brooch,ca. 1970,,gold,,1970.0,1970.0,1970.0
6994,VAM,2013,Bracelet,ca. 1946,United States,silver,,1946.0,1946.0,1946.0
6995,VAM,2008,T-shirt,1978,United Kingdom,cotton (textile),screen printing,1978.0,1978.0,1978.0
7001,VAM,2012,Vase,ca. 1966,United Kingdom,glass,mould-blown,1966.0,1966.0,1966.0
7003,VAM,2018,Ceramic,1965,,porcelain,moulding,1965.0,1965.0,1965.0
7009,VAM,2009,Water pot,1900-1924,,,,1900.0,1924.0,1912.0
7012,VAM,2020,Sans Titre 33,,,,,,,
7014,VAM,2006,Ring,1959-1960,,Silver,,1959.0,1960.0,1960.0
7024,VAM,2024,Photograph,1973,,photographic paper,gelatin silver,1973.0,1973.0,1973.0
7025,VAM,2024,Photograph,1973,,photographic paper,gelatin silver,1973.0,1973.0,1973.0
7034,VAM,2022,Prototype,2009,United Kingdom,stainless steel,,2009.0,2009.0,2009.0
7035,VAM,2022,Prototype,2009,United Kingdom,stainless steel,,2009.0,2009.0,2009.0
7048,VAM,2007,Figure,ca. 1830,,Earthenware,,1830.0,1830.0,1830.0
7056,VAM,2021,Tea bowl,2015,Japan,Stoneware,,2015.0,2015.0,2015.0
7064,VAM,2022,Ring,2021,United Kingdom,White gold,,2021.0,2021.0,2021.0
7065,VAM,2022,Ring,2021,United Kingdom,White gold,,2021.0,2021.0,2021.0
7066,VAM,2010,Storage box,1983,Italy,steel,chrome plating,1983.0,1983.0,1983.0
7070,VAM,2020,Ring,2012,United Kingdom,oxidised silver,casting,2012.0,2012.0,2012.0
7075,VAM,2018,Medal,,,,,,,
7079,VAM,2020,Sans Titre 44,,,,,,,
7085,VAM,2013,Cufflink,1930-40,France,brass,,1930.0,40.0,985.0
7198,VAM,2024,Zen II,2016,,sterling silver,raised,2016.0,2016.0,2016.0
7201,VAM,2023,statuette,17th century,,Loxodonta africana,carved,1601.0,1700.0,1650.0
7223,VAM,2014,Plaster cast,ca. 1140-1150,Italy,,,1140.0,1150.0,1145.0
7243,VAM,2014,Figure,ca. 1747,,porcelain,moulded,1747.0,1747.0,1747.0
7269,VAM,2008,Miniature relief,ca. 1620,Germany,gold,chasing,1620.0,1620.0,1620.0
7294,VAM,2010,Figure,1403-1424,China,brass,gilding,1403.0,1424.0,1414.0
7335,VAM,2023,Crucifix,c.1630-1650,Italy,Ivory,carved,1630.0,1650.0,1640.0
7352,VAM,2020,Lamp,1999,,polypropylene,injection,1999.0,1999.0,1999.0
7357,VAM,2022,Amber Red Vessel Form,,,glass,Kiln formed,,,
7400,VAM,2016,Vessel,2015,,clay,,2015.0,2015.0,2015.0
7401,VAM,2016,Vessel,2015,,clay,,2015.0,2015.0,2015.0
7402,VAM,2016,Vessel,2015,,clay,,2015.0,2015.0,2015.0
7412,VAM,2007,Cuff bracelet,1994,United Kingdom,silver,,1994.0,1994.0,1994.0
7420,VAM,2007,Pendant,1999-2000,United Kingdom,brass,,1999.0,2000.0,2000.0
7431,VAM,2007,Brooch,1990,United Kingdom,gold,electroforming,1990.0,1990.0,1990.0
7451,VAM,2007,Pendant,2006,United Kingdom,silver,,2006.0,2006.0,2006.0
7452,VAM,2007,Brooch,1988,United Kingdom,gold,,1988.0,1988.0,1988.0
7456,VAM,2009,statuette,ca. 1500,Italy,Bronze,Cast,1500.0,1500.0,1500.0
7515,VAM,2024,Jewellery,2013,United Kingdom,gold,hand carving,2013.0,2013.0,2013.0
7697,VAM,2012,table,1680-1700,Italy,boxwood,carving,1680.0,1700.0,1690.0
7762,VAM,2024,photographs,2023,,,photo montage,2023.0,2023.0,2023.0
7766,VAM,2019,Fresh-water jar,2018,,Stoneware,Hand-built,2018.0,2018.0,2018.0
7874,VAM,2018,Tudor Glass with Coral Reef,2016,United Kingdom,Corallium rubrum,stone-setting,2016.0,2016.0,2016.0
7883,VAM,2014,Model,2011,United Kingdom,silver,cutting,2011.0,2011.0,2011.0
7891,VAM,2007,Necklace part,1987-1988,United Kingdom,Copper alloy,,1987.0,1988.0,1988.0
7900,VAM,2016,Royal Mantel Clock,1736,United Kingdom,enamel,chasing,1736.0,1736.0,1736.0
8027,VAM,2009,Mosaic,ca. 1869,United Kingdom,ceramic,mosaic,1869.0,1869.0,1869.0
8040,VAM,2014,Installation,2012,United Kingdom,glass,enamelled,2012.0,2012.0,2012.0
8071,VAM,2007,Necklace,2005,United Kingdom,clay,,2005.0,2005.0,2005.0
8079,VAM,2019,Screen gate,1862,,,,1862.0,1862.0,1862.0
8093,VAM,2019,Screen Gate,1862,,brass,painted,1862.0,1862.0,1862.0
8095,VAM,2009,Vase,2006,China,Porcelain,,2006.0,2006.0,2006.0
8110,VAM,2018,Victoria and Albert Gate,1982,,steel,forging,1982.0,1982.0,1982.0
8151,VAM,2020,Brooch,2018,,titanium,lost-wax process,2018.0,2018.0,2018.0
8156,VAM,2009,Bottle,,,stoneware,glazing,,,
8164,VAM,2016,Chair,1927-1928,Germany,tubular steel,,1927.0,1928.0,1928.0
8170,VAM,2017,Ewer,1850-1950,United Kingdom,Plaster,Cast,1850.0,1950.0,1900.0
8194,VAM,2019,Armchair,1888,United Kingdom,mahogany,,1888.0,1888.0,1888.0
8203,VAM,2007,Ewer,1711-1712,,silver,,1711.0,1712.0,1712.0
8215,VAM,2007,Basin,1711-1712,,silver,raised,1711.0,1712.0,1712.0
8234,VAM,2011,Plaque,1876,United Kingdom,copper,electroforming,1876.0,1876.0,1876.0
8239,VAM,2013,Painting,c. 1700,France,,,1700.0,1700.0,1700.0
