RecordID,Museum,LocalID,AcqDate,ObjectType,ItemDate,StartDate,EndDate,MidpointDate,ItemPlace,ModernCountry,Culture,ItemMaterial,ItemTechnique
01492,BM,"No: 1856,0815.3",1856,figure,2ndC BC,-200.0,-101.0,-150.0,Etruria,Italy,Etrusco-Latin; Hellenistic Period (Etruscan),bronze,
01493,BM,"No: Am1982,05.1",1982,figure,1200 BC - 400 BC,-1200.0,-400.0,-800.0,,Mexico,Olmec,jade,carved; incised
01494,BM,"No: 1824,0493.2",1824,figure,1stC-2ndC,1.0,200.0,100.0,,Italy,Roman,bronze,
01495,BM,"No: 1887,0307,II.47",1887,figure,1770 (circa),1770.0,1770.0,1770.0,Derby,United Kingdom,,porcelain; gold,lead-glazed; painted; gilded; mould-made
01496,BM,"No: 1903,1121.1",1903,figure,,,,,,United Kingdom,Romano-British,limestone,
01497,BM,No: OA+.11014,,figure; architecture,,,,,,Iraq,Abbasid dynasty,plaster,mould-made; carved; painted
01498,BM,"No: 1772,0302.177.e",1772,figure,,,,,,,Classical World,bronze,
01499,BM,"No: 1966,0328.3",1966,figure,750BC (circa),-750.0,-750.0,-750.0,,Greece,Geometric Greek,bronze,
01500,BM,"No: 1966,0328.14",1966,figure; stand-fitting,475BC-450BC,-475.0,-450.0,-462.0,Italy,Italy,Etruscan,bronze,
01501,BM,"No: 1863,0728.266",1863,figure,5thC BC(early),-500.0,-401.0,-450.0,Sicily,Italy,Western Greek,terracotta,
01502,BM,"No: 1925,0422.3",1925,figure,800BC-700BC (circa),-800.0,-700.0,-750.0,,Greece,Geometric Greek,bronze,
01503,BM,"No: 1805,0703.257",1805,figure,,,,,,,Classical World,marble,
01504,BM,No: 1880.3122,,figure,2ndC BC-1stC BC (circa),-200.0,-1.0,-100.0,,Pakistan,,terracotta,
01505,BM,"No: 1867,0205.17",1867,figure,550BC (circa),-550.0,-550.0,-550.0,Tegea,Greece,Archaic Greek,terracotta,
01506,BM,"No: 1824,0492.2",1824,figure,1stC,1.0,100.0,50.0,,Italy,Roman,bronze,
01507,BM,"No: 1898,0702.26.b",1898,figure,18thC,1701.0,1800.0,1750.0,,Sri Lanka,,gold,
01508,BM,"No: 1985,1115.3",1985,figure,1751-1850 (circa),1751.0,1850.0,1800.0,,,,ivory,painted
01509,BM,No: EA32138,1899,figure,,,,,,Egypt,Late Predynastic; 1st Dynasty,lead,
